precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.48762677484787015,0.15966978729105627,0.23283938414307254,0.43042596348884377,0.27378820391242636,0.3220349778609668,0.3905568062768875,0.36496498986860876,0.36315937513962226,1,1
0.4920892494929006,0.15969427873239544,0.23351080661022067,0.43204868154158216,0.27462646389238704,0.3229964344910148,0.38866363521535935,0.36301547408561674,0.36128968147596197,1,2
0.47626774847870185,0.15556822861129224,0.227083214554757,0.4283975659229209,0.27195419425182726,0.32008945947146383,0.38433638707472373,0.3578486802137188,0.3564999460585427,1,3
0.47505070993914805,0.15441290463019358,0.225761556119467,0.4241379310344828,0.2678464230395658,0.3159262758622226,0.38352502804835464,0.3563349958252595,0.35535208198492274,1,4
0.49371196754563895,0.16057273929830748,0.2344841429173343,0.43610547667342797,0.2769627882227093,0.32580160134210884,0.3916386183120463,0.3656146106227704,0.363809926268472,1,5
0.47910750507099387,0.15580667558840225,0.2276404270261722,0.4251521298174442,0.26934515599992487,0.3173747642807014,0.37811596787256013,0.35248924603408244,0.3510303091787118,1,6
0.4884381338742394,0.16032085276205452,0.23355909730056512,0.43387423935091285,0.2758907763285986,0.324423673139859,0.3865000111450416,0.3613240785442109,0.3591391827287301,1,7
0.49168356997971596,0.15956009409110455,0.23340581568238672,0.43387423935091274,0.27586225417192084,0.32449807694307886,0.39123293879886173,0.3652015835269497,0.36329635683563505,1,8
0.4697768762677485,0.15357715130082208,0.22404219513349316,0.4281947261663286,0.27144894529461655,0.3196132673086225,0.3824432160131958,0.3558325167685227,0.3547422695866756,1,9
0.5018255578093307,0.16345584689263704,0.23859978440343357,0.434685598377282,0.2756594722009855,0.32468319755192765,0.3947488279131281,0.3690823045042422,0.3668292497766023,1,10
0.47018255578093304,0.15306936001931523,0.2234985348285431,0.4247464503042596,0.27048962626378065,0.3178641362738776,0.37865687389013963,0.35219295924212307,0.35099527919121565,1,11
0.46977687626774844,0.15173828826341187,0.2224667123365208,0.42251521298174444,0.2682401081842902,0.3158021277830403,0.38014436543848307,0.35478168232811313,0.35301240773184045,1,12
0.4985801217038539,0.1630843018593682,0.23767816667080646,0.44056795131845844,0.2809786196878272,0.33009543749703635,0.39501928092191785,0.370005330968415,0.3673298120084633,2,1
0.46409736308316435,0.1511031092983833,0.2208128564594916,0.4184584178498986,0.2650151242108029,0.3121703099091266,0.377304608846191,0.3519321281653839,0.35019253290330576,2,2
0.4835699797160244,0.15836731707562102,0.23068606270314096,0.4273833671399594,0.2719023331046413,0.31994029394617296,0.38271366902198545,0.35684532979504513,0.3555369297112086,2,3
0.42312373225152133,0.13765397765658652,0.2013091024272806,0.3772819472616633,0.2417450789549766,0.2833734579597078,0.34457979478263456,0.32468533818466394,0.3214500021463465,2,4
0.4665314401622718,0.15216582555126046,0.22199826628891306,0.41703853955375253,0.26463370511209594,0.31157033971384895,0.37608757030663725,0.3502887908833687,0.3487766463898875,2,5
0.4352941176470589,0.14080961179741816,0.2059690434418908,0.3916835699797161,0.24980958346026375,0.2932597543255424,0.3562092741605926,0.3344235773213476,0.3316785543992956,2,6
0.4563894523326572,0.14690847182732425,0.21519952262137781,0.3997971602434078,0.25318709717113846,0.2982019786755507,0.3604012957968334,0.33613160874518716,0.3345204727030987,2,7
0.47586206896551725,0.15539874625190844,0.2268241867729093,0.4239350912778905,0.2707864418267199,0.31769399607711096,0.3820375365000111,0.357983494739394,0.35539385730331974,2,8
0.488843813387424,0.15970954052354816,0.23300185055680123,0.4290060851926978,0.27247620775433173,0.3207936340336318,0.38352502804835464,0.35844564786296973,0.35650093898802554,2,9
0.4884381338742394,0.1594998025682756,0.23282094510387202,0.43590263691683573,0.2767933519247635,0.3258127634656497,0.3924499773384154,0.365447883923746,0.3640845814173809,2,10
0.4612576064908722,0.14940693989938605,0.218567339250596,0.4113590263691684,0.2604987302293506,0.3069850100574691,0.36946147159128906,0.3447754192944096,0.3430293778007142,2,11
0.48559837728194727,0.15817487613644116,0.23119233259838923,0.4379310344827586,0.27836459915757106,0.32741023608025716,0.39136816530325663,0.3640817110359169,0.36299946809288547,2,12
0.4795131845841785,0.15693527539268953,0.22896217158190324,0.43042596348884393,0.2740028247446376,0.3220998393002807,0.39042157977249264,0.3645524310460792,0.36266802070846116,3,1
0.47342799188640977,0.1543601940351005,0.22526520876499698,0.4190669371196755,0.2657889732952439,0.3128800439803967,0.3783864208813499,0.3530716816417183,0.3513048147476703,3,2
0.5058823529411764,0.16410543554533807,0.23981038716515268,0.4442190669371196,0.2831686136501032,0.33253458732502283,0.3940726953911538,0.3679192271427166,0.36617467455677793,3,3
0.4896551724137931,0.15996196835005327,0.23359701472199437,0.4296146044624747,0.27346718957982663,0.3214439963609901,0.3852829726054878,0.35972527140874716,0.3580245273439444,3,4
0.5083164300202839,0.16583495175470359,0.24214060101009416,0.44665314401622713,0.28442998291011296,0.3344132617813981,0.39731813149663053,0.3718164851255776,0.3693941275055099,3,5
0.4726166328600406,0.15307133077905974,0.22363274297334668,0.4182555780933063,0.2669583754909955,0.31323154120592,0.3718955486703966,0.3470867576508217,0.3451855760861914,3,6
0.4872210953346856,0.15918662515193488,0.23237156216432767,0.4338742393509128,0.2759950146669487,0.32453529888633936,0.39001590025930793,0.36441784953295503,0.3625012484893816,3,7
0.4920892494929006,0.1611195433103839,0.23486372093103378,0.4330628803245436,0.274684574011522,0.32333686061825,0.3839307075615392,0.35898453223357213,0.35669071694445076,3,8
0.45922920892494923,0.1500452643390632,0.21855800307670495,0.40304259634888434,0.2550978172570799,0.3005377638845931,0.3639171849110997,0.3396072181071164,0.33778956597926946,3,9
0.4803245436105477,0.1577702936966124,0.2298572503559981,0.4300202839756592,0.2740244863543652,0.322007746324929,0.38731137017141076,0.36105351896936694,0.3594082212078639,3,10
0.5042596348884382,0.1640746334540066,0.23962447501446862,0.44584178498985805,0.28315478676821504,0.33317287657065464,0.3944783749043384,0.368357081949874,0.36631660280005846,3,11
0.45233265720081134,0.14665957096732984,0.21466308598260475,0.3941176470588236,0.24997719768735677,0.29418081137926483,0.36337627889352025,0.34043070221065475,0.338215154784652,3,12
0.48965517241379314,0.1600869649792735,0.23346691634746153,0.4413793103448276,0.28179538650154035,0.3307547142210397,0.394884054417523,0.3674928759101982,0.3662093283153804,4,1
0.491683569979716,0.1596726594719887,0.23361614865431074,0.43935091277890465,0.2792818987566514,0.32856893788934805,0.39055680627688744,0.36411425853605256,0.3624627252354508,4,2
0.486815415821501,0.15800698069002164,0.23107764027342764,0.43569979716024343,0.2762558116397635,0.3251960803988817,0.3901511267637028,0.3651499369026686,0.3625939132201242,4,3
0.47626774847870185,0.15433615935257994,0.2257506561712821,0.4265720081135903,0.2718634167197456,0.3193300843257609,0.37622279681103205,0.34983503822783113,0.34871275334298363,4,4
0.4835699797160244,0.1579383021459522,0.23070522045190914,0.4332657200811359,0.2757751894051329,0.3244379281891365,0.39069203278128234,0.36528547023501406,0.3631769288117839,4,5
