precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.42360000000000003,0.2648181356063608,0.30591237161764606,0.36306031746031747,0.4179511310237451,0.3664964475423219,0.318736408036408,0.5053149848241077,0.37171916918403897,1,1
0.42160000000000003,0.2614248546700155,0.3028533115850088,0.36426031746031745,0.41578935367701353,0.3661894857852125,0.3180697413697414,0.5053158251262505,0.37129777767812855,1,2
0.41120000000000007,0.25716828566867933,0.2964829108834484,0.3626603174603174,0.41919021720752436,0.366886852033309,0.31966974136974136,0.5071697239594534,0.373051570385501,1,3
0.422,0.2639962158823513,0.3043180066618468,0.35866031746031746,0.4103156581061212,0.36083597916838017,0.3142030747030747,0.5001855551696176,0.3671200797827422,1,4
0.42,0.2614689224443465,0.3019118303175886,0.3584603174603175,0.41090297424154937,0.3609108957929095,0.3151364080364081,0.5003360710280282,0.3677993655923624,1,5
0.43,0.26539564700678236,0.30774909251571364,0.36426031746031745,0.41560066631256903,0.36584012757169365,0.3191364080364081,0.5053885939093437,0.37230793831533343,1,6
0.43439999999999995,0.2696820032316835,0.31261744135772646,0.3682603174603174,0.42448806635637637,0.37181303963936296,0.3202030747030747,0.5075492623286337,0.3734033411528578,1,7
0.4252,0.26672646335544775,0.30719210286646537,0.3624603174603175,0.4136472680251452,0.36422899422905125,0.3172697413697414,0.503931493813914,0.3703383273282063,1,8
0.4132,0.2593058132597673,0.2986585941509893,0.36106031746031747,0.4157420012476817,0.36413838639588825,0.3184697413697414,0.5047609595354715,0.3714122587304115,1,9
0.4116,0.25747691139967355,0.2970367463496678,0.36286031746031744,0.41926440984183944,0.366797922746454,0.3190030747030747,0.5062067952215247,0.37229231024815596,1,10
0.41720000000000007,0.2608814650301862,0.3010710006858403,0.36286031746031744,0.41905265293689375,0.36672963424562444,0.319136408036408,0.5066157355502019,0.3724738855046093,1,11
0.3996,0.2487754422463165,0.2874314599043506,0.3490603174603175,0.40458161210172244,0.35294214897753007,0.30780307470307466,0.491841509790544,0.36014600849620115,1,12
0.42680000000000007,0.2641118073943825,0.30597373674138223,0.3644603174603175,0.4162914381997805,0.36648894025113987,0.31753640803640804,0.5037204307283928,0.37040070730779034,2,1
0.4228,0.26401342639241077,0.3042962163544191,0.35766031746031746,0.41004717476640007,0.3599997809616775,0.3151364080364081,0.49960217199792173,0.36751593990046666,2,2
0.434,0.2720946879646032,0.3136889355000111,0.36726031746031745,0.42212640457798284,0.37034712109672524,0.3204697413697414,0.509249429834236,0.3741846265121137,2,3
0.3984,0.25040775035476875,0.28838161442670585,0.35166031746031745,0.4072981811847137,0.355573910608775,0.31273640803640806,0.49654073406091176,0.3648431405425142,2,4
0.41520000000000007,0.26064769571785656,0.30022365919913624,0.3660603174603174,0.42205011716558016,0.36956510767960377,0.3182030747030747,0.5044198013958143,0.3711008304817628,2,5
0.4172,0.25997518247557616,0.3002286773675289,0.35986031746031744,0.41590076675716064,0.3635009465366101,0.318336408036408,0.5050782468950661,0.3715308593594077,2,6
0.42200000000000004,0.26052805801682494,0.3024764844888911,0.3624603174603175,0.4186127341268982,0.3662432260925029,0.31553640803640803,0.5013031134287258,0.36839175452011336,2,7
0.4192000000000001,0.26207413619070646,0.30257841890712983,0.3610603174603174,0.41657082817124547,0.36459425540872054,0.31700307470307465,0.5033757025956649,0.37002686741468177,2,8
0.4,0.2511138640956517,0.2888057282958804,0.3534603174603175,0.40869520275631793,0.35720943598392535,0.31366974136974135,0.4996020977607766,0.36668321065772114,2,9
0.40480000000000005,0.2547211267132084,0.2930722492417277,0.35786031746031743,0.4119724216675623,0.3609795188172137,0.3202030747030747,0.5084227226579326,0.3738317781863515,2,10
0.41960000000000003,0.2631341660845598,0.3033136899255902,0.3556603174603174,0.4118251761108875,0.3599520782875784,0.31100307470307476,0.496761020144635,0.36395000467551414,2,11
0.424,0.2631099788737459,0.3044850244496009,0.3612603174603175,0.4142231690446524,0.3637792627183694,0.3191364080364081,0.5062105320529369,0.3723037055573473,2,12
0.41240000000000004,0.25612418353172833,0.29631253980139144,0.3536603174603175,0.40638280409521826,0.3565874474495739,0.3114030747030747,0.4965812528645581,0.3640949602310493,3,1
0.4104,0.25649196599629365,0.2963209584171472,0.3530603174603174,0.4098103788998526,0.3573536028389276,0.3114030747030747,0.4960647725698271,0.36394843098100027,3,2
